group	tcpID & section_idx
ground	A85735 7
ground	A85735 7 | 19921
ground	A85735 8
ground	A85735 8 | 19965
ground	A85735 9
ground	A85735 9 | 19995
ground	A85735 9 | 20015
ground	A85735 10
Wollebius - Abridgement	A96805 1
Wollebius - Abridgement	A96805 9
Wollebius - Abridgement	A96805 10
Wollebius - Abridgement	A96805 10 | 20212
Wollebius - Abridgement	A96805 10 | 20313
Wollebius - Abridgement	A96805 10 | 20417
Wollebius - Abridgement	A96805 10 | 20557
Wollebius - Abridgement	A96805 10 | 20671
Wollebius - Abridgement	A96805 10 | 20755
Wollebius - Abridgement	A96805 10 | 20807
Wollebius - Abridgement	A96805 10 | 20912
Wollebius - Abridgement	A96805 10 | 20975
Wollebius - Abridgement	A96805 10 | 21070
Wollebius - Abridgement	A96805 10 | 21193
Wollebius - Abridgement	A96805 10 | 21250
Wollebius - Abridgement	A96805 10 | 21332
Wollebius - Abridgement	A96805 10 | 21384
Wollebius - Abridgement	A96805 11
Wollebius - Abridgement	A96805 11 | 21598
Wollebius - Abridgement	A96805 11 | 21680
Wollebius - Abridgement	A96805 11 | 21778
Wollebius - Abridgement	A96805 11 | 21875
Wollebius - Abridgement	A96805 11 | 21988
Wollebius - Abridgement	A96805 11 | 22069
Wollebius - Abridgement	A96805 12
Wollebius - Abridgement	A96805 26
ground	A91475 1
ground	A91475 3
ground	A91475 3 | 22278
ground	A91475 4
ground	A91475 5
ground	A91475 6
ground	A91475 7
ground	A91475 8
ground	A91475 10
ground	A91475 12
ground	A91475 13
ground	A76202 4
ground	A76202 8
ground	A76202 10
ground	A76202 13
ground	A76202 14
ground	A76202 15
ground	A76202 17
ground	A76202 18
ground	A76202 19
ground	A76202 19 | 22704
ground	A76202 20
ground	A76202 23
ground	A76202 24
ground	A76202 25
ground	A76202 30
ground	A76202 35
ground	A76202 41
ground	A76202 43
ground	A76202 45
ground	A76202 47
ground	A76202 52
ground	A76202 59
ground	A76202 61
ground	A76202 63
ground	A76202 64
ground	A76202 65
ground	A76202 69
ground	A76202 70
ground	A76202 71
ground	A76202 75
ground	A76202 79
ground	A76202 81
ground	A76202 83
ground	A76202 91
ground	A76202 99
ground	A76202 110
ground	A76202 117
ground	A76202 123
ground	A76202 132
ground	A76202 135
ground	A76202 138
ground	A76202 139
ground	A76202 141
ground	A76202 143
ground	A76202 145
ground	A76202 146
ground	A76202 151
ground	A75620 3
ground	A75620 4
ground	A75620 4 | 23424
ground	A75620 4 | 23445
ground	A75620 4 | 23466
ground	A75620 5
ground	A75620 6
ground	A75620 6 | 23520
ground	A75620 6 | 23562
ground	A75620 7
ground	A75620 8
ground	A75620 8 | 23624
ground	A75620 9
ground	A75620 10
ground	A75620 11
ground	A75620 12
ground	A75620 13
ground	A75620 13 | 23814
ground	A75620 13 | 23838
ground	A75620 13 | 23869
ground	A75620 13 | 23882
ground	A75620 14
ground	A75620 14 | 23913
ground	A75620 15
ground	A75620 15 | 23963
ground	A75620 15 | 23988
ground	A75620 15 | 24022
ground	A75620 15 | 24051
ground	A75620 16
ground	A75620 17
ground	A75620 17 | 24131
ground	A75620 17 | 24155
ground	A75620 18
ground	A75620 19
ground	A75620 19 | 24213
ground	A75620 19 | 24239
ground	A78218 2
ground	A78218 4
ground	A78218 4 | 24289
ground	A78218 4 | 24311
ground	A78218 5
ground	A78218 5 | 24339
ground	A78218 5 | 24358
ground	A78218 5 | 24383
ground	A78218 5 | 24402
ground	A78218 7
ground	A75849 6
ground	A75849 11
ground	A75849 11 | 24456
ground	A75849 11 | 24458
ground	A75849 12
ground	A75849 12 | 24466
ground	A75849 12 | 24471
ground	A75849 13
ground	A75849 13 | 24483
ground	A75849 13 | 24491
ground	A75849 13 | 24497
ground	A75849 13 | 24499
ground	A75849 14
ground	A75849 14 | 24508
ground	A75849 15
ground	A63906 2
ground	A63906 2 | 24541
ground	A63906 2 | 24551
ground	A63906 2 | 24564
ground	A63906 2 | 24572
ground	A63906 2 | 24580
ground	A63906 2 | 24602
ground	A63906 2 | 24620
ground	A63906 2 | 24636
ground	A63906 3
ground	A63906 6
ground	A63906 7
ground	A63906 8
ground	A63906 9
ground	A63906 11
ground	A63906 12
ground	A63906 13
ground	A63906 14
ground	A63906 15
ground	A63906 16
ground	A63906 18
ground	A63906 20
ground	A67805 1
ground	A67805 3
ground	A67805 4
ground	A67805 4 | 24916
ground	A67805 4 | 24938
ground	A67805 4 | 24948
ground	A67805 4 | 24966
ground	A67805 4 | 24987
ground	A67805 4 | 24989
ground	A67805 4 | 24998
