subject_heading,frequency
"Stoughton, William, fl. 1584. --  Abstract, of certain acts of parliament.",1
"Morice, James. --  Briefe treatise of oathes exacted by ordinaries and ecclesiasticall judges, to answere generallie to all such articles or interrogatories, as pleaseth them to propound --  Controversial literature --  Early works to 1800.",1
"Hacket, William, d. 1591.",1
"Coppinger, Edmund, d. 1591.",1
"Bible. --  O.T. --  Jeremiah XL, XLI --  Commentaries --  Early works to 1800.",1
Treason --  Early works to 1800.,1
Christian martyrs --  England --  Early works to 1800.,1
Great Britain --  Church history --  16th century --  Sources.,1
Catholic Church --  Controversial literature --  Debates --  Early works to 1800.,1
Jesus Christ --  Genealogy.,1
Jesus Christ --  Baptism.,1
"Smith, Richard --  Controversial literature --  Early works to 1800.",1
Bible and tradition --  Controversial literature --  Early works to 1800.,1
Catholic Church. --  Doctrines --  Early works to 1800.,1
Apostles' creed --  Early works to 1800.,1
"Copie of an aunswere, made unto a certayne letter --  Controversial literature --  Early works to 1800.",1
Abuse of the blessed sacrament of the aultare.,1
"Debnam, Samuel.",1
"Catholics, English --  Early works to 1800.",1
Life --  Early works to 1800.,1
Mortality --  Early works to 1800.,1
"Bible. --  O.T. --  Chronicles, 1st, XVI, 22 --  Sermons.",1
Imaginary letters.,1
Love-letters.,1
"Cupif, Franc̦ois, ca. 1552-1638 --  Early works to 1800.",1
Université de Paris. --  Faculté de théologie --  Early works to 1800.,1
Islamic Empire --  History --  Early works to 1800.,1
"Allen, William, 1532-1594. --  Copie of a letter written by M. Doctor Allen concerning the yeelding up, of the citie of Daventrie, unto his Catholike Majestie, by Sir William Stanley knight --  Controversial literature --  Early works to 1800.",1
"Stanley, William, --  Sir, 1548-1630.",1
"Deventer, Surrender of, 1587 --  Early works to 1800.",1
Violet (Ship) --  Early works to 1800.,1
"Juana de la Cruz, --  sor, 1481-1534 --  Early works to 1800.",1
Nuns --  Spain --  Biography.,1
"English language --  Early modern, 1500-1700 --  Pronunciation --  Early works to 1800.",1
"English language --  Early modern, 1500-1700 --  Orthography and spelling --  Early works to 1800.",1
"Diodati, Charles, 1609 or 10-1638.",1
Dice --  Early works to 1800.,1
Spain --  Early works to 1800.,1
"Paget, John, d. 1640. --  Answer to the unjust complaints of William Best.",1
Jesus Christ --  Passion --  Meditations.,1
Lord's Supper --  Catholic Church --  Early works to 1800.,1
"Law reports, digests, etc. --  Ireland --  Early works to 1800.",1
"Essex, Walter Devereux, --  Earl of, 1541-1576.",1
Bible. --  O.T. --  Psalms I-VIII --  Commentaries --  Early works to 1800.,1
Auroras --  London --  England --  Early works to 1800.,1
"Sermons, English --  17thcentury.",1
Spirits --  Early works to 1800.,1
"Darrel, John, b. ca. 1562.",1
Demoniac possession --  Early works to 1800.,1
"I. H., fl. 1602. --  Work for chimny-sweepers --  Controversial literature --  Early works to 1800.",1
"Deane, Richard, --  Sir.",1
"Swinerton, John, --  Sir.",1
"Dell, Annis, d. 1606.",1
"Dell, George, d. 1606.",1
"Harrison, Johane, d. 1606.",1
"Winchcombe, John, d. 1520 --  Early works to 1800.",1
Demosthenes.,1
"Perth, James Drummond, --  Earl of, ca. 1580-1611.",1
"Perth, Isabel Drummond, --  Countess of, b. 1593.",1
"Juxon, John, d. 1626 --  Early works to 1800.",1
Restitution --  Early works to 1800.,1
"Dialogues, English --  16th century.",1
"Philip --  II, --  King of Spain, 1527-1598 --  Early works to 1800.",1
France --  Politics and government --  1562-1598 --  Early works to 1800.,1
"Kayll, Robert. --  Trades increase.",1
Soldiers --  Early works to 1800.,1
"Hill, Edmund Thomas, ca. 1563-1644. --  Quartron of reasons of Catholike religion, with as many briefe reasons of refusall --  Controversial literature.",1
"Demetrius --  I, --  Poliorcetes, King of Macedonia, 336-283 B.C.",1
"Macedonia --  History --  Diadochi, 323-276 B.C. --  Early works to 1800.",1
"Knott, Edward, 1582-1656. --  Modest briefe discussion of some points taught by M. Doctour Kellison in his treatise of the ecclesiasticall hierarchy",1
"Kellison, Matthew. --  Treatise of the hierarchie and divers orders of the church against the anarchie of Calvin --  Early works to 1800.",1
"Dobson, George --  Early works to 1800.",1
Durham(England) --  Fiction --  Early works to 1800.,1
Practice of law --  Great Britain --  Early works to 1800.,1
"De Dominis, Marco Antonio, 1560-1624 --  Early works to 1800.",1
Bible. --  N.T. --  Romans XII-XVI --  Sermons.,1
God --  Knowableness --  Sermons.,1
Schism --  Sermons.,1
Sacrifice --  Christianity --  Early works to 1800.,1
"Heresies, Christian --  Modern period, 1500-  --  Early works to 1800.",1
"Shakespeare, William, 1564-1616. --  Pericles --  Sources --  Early works to 1800.",1
"Romances, Latin (Medieval and modern) --  Early works to 1800.",1
Apollonius of Tyre (Fictitious character) --  Early works to 1800.,1
"Dow, Zachary.",1
"Gough, Sara.",1
"Gough, John.",1
Actions and defenses --  England --  Cases.,1
"Burton, Henry, 1578-1648. --  Apology of an appeale --  Controversial literature --  Early works to 1800.",1
"Burton, Henry, 1578-1648. --  For God, and the King --  Controversial literature --  Early works to 1800.",1
"Answeres of some brethren of the ministerie, to the replyes of the ministers and professours of divinitie in Aberdene.",1
Covenanters --  Scotland --  17th century --  Early works to 1800.,1
Aberdeen (Scotland) --  Church history --  17th century --  Early works to 1800.,1
"Bible. --  N.T. --  Luke 1, 73-75 --  Commentaries --  Early works to 1800.",1
"Downame, George, d. 1634. --  Two sermons. Part 2 --  Early works to 1800.",1
"Answere to a sermon preached the 17 of April anno D. 1608, by George Downame --  Controversial literature --  Early works to 1800.",1
"Hanau Münzenberg, Philipp Ludwig, --  Graf zu, 1576-1612?",1
Prostitution --  Religious aspects --  Early works to 1800.,1
Bribery --  Early works to 1800.,1
Anger --  Religious aspects --  Early works to 1800.,1
"N. N., fl. 1633 --  Controversial literature --  Early works to 1800.",1
Voyages around the world --  Early works to 1800.,1
"Painting, Ancient --  Early works to 1800.",1
"Coeffeteau, Nicolas, 1574-1623. --  Responce à l'advertissement, adressé par le sérénissme roy de la Grande Bretagne, Jacques I. à tous les princes et potentats de la chrestienté --  Controversial literature --  Early works to 1800.",1
"Bible. --  N.T. --  1 Timothy IV, 1-4 --  Commentaries --  Early works to 1800.",1
Bible. --  N.T. --  2 Thessalonians 2 --  Commentaries --  Early works to 1800.,1
Language question in the church --  Early works to 1800.,1
"Arnoux, Jean, d. 1636. --  Confession de foy de messieurs les ministres convaincüe de nullité par leur propre bible --  Controversial literature --  Early works to 1800.",1
Eglises réformées de France. --  Confession de foy --  Early works to 1800.,1
"Coeffeteau, Nicolas, 1574-1623. --  Responce à l'advertissement, adressé par le sérénissme roy de la Grande Bretagne, Jacques I. 'a tous les princes et potentats de la chrestienté --  Controversial literature --  Early works to 1800.",1
"Suarez de Sainte-Marie, Jacques, 1551-1614. --  Torrent de feu --  Controversial literature --  Early works to 1800.",1
"Palma-Cayet, Pierre-Victor. --  Fournaise ardente --  Controversial literature --  Early works to 1800.",1
"Duval, André, 1564-1638. --  Feu d'Helie --  Controversial literature --  Early works to 1800.",1
"Du Rosier, Hugues Sureau --  Early works to 1800.",1
Constancy.,1
"Paris (France) --  History --  Siege, 1590.",1
"Women --  Legal status, laws, etc. --  Great Britain --  Early works to 1800.",1
Colonization --  Early works to 1800.,1
Religion and law --  Early works to 1800.,1
"Loubata, Philiberta, 1588 or 9-1629.",1
Lutheran Church --  Controversial literature.,1
"Caesar, Julius. --  De bello Gallico. --  English. --  Abridgments.",1
"Gaul --  History --  Gallic Wars, 58-51 B.C. --  Early works to 1800.",1
"James --  I, --  King of England, 1566-1625 --  Death and burial --  Early works to 1800.",1
"Mary --  I, --  Queen of England, 1516-1558 --  Marriage.",1
"Appletree, Thomas.",1
"Elizabeth --  I, --  Queen of England, 1533-1603 --  Assassination attempt, 1586 --  Early works to 1800.",1
"Tichborne, Chidiock, ca. 1558-1586 --  Early works to 1800.",1
Bible. --  N.T. --  Colossians --  Commentaries --  Early works to 1800.,1
Great Britain --  History --  Rebellion of 1569.,1
Jesuits --  France.,1
Archery in literature --  Early works to 1800.,1
Bible. --  N.T. --  Philemon --  Commentaries.,1
"Romances, Byzantine --  Early works to 1800.",1
Bible. --  O.T. --  Daniel --  Commentaries --  Early works to 1800.,1
"Bonner, Edmund, 1500?-1569 --  Controversial literature.",1
"Alleine, Joseph, 1634-1668.",1
"Corporation of London --  Charters, grants, privileges.",1
Municipal charters --  England --  London.,1
Perjury --  Sermons.,1
"Allestree, Richard, 1619-1681.",1
"Bible. --  N.T. --  John XV, 14 --  Sermons.",1
Jesus Christ --  Royal office.,1
"Allington, John, d. 1682. --  Brief apology for the sequestred clergy.",1
"Philosophy, Islamic --  Early works to 1800.",1
Planets --  Ephemerides.,1
Coptic Church.,1
Copts.,1
"Virgil. --  Aeneis. --  Liber 6 --  Parodies, imitations, etc.",1
"Grand Alliance, War of the, 1689-1697 --  Campaigns --  Belgium.",1
Namur (Belgium) --  History --  17th century.,1
Great Britain --  Foreign relations --  1649-1660.,1
"Hart, Richard, --  Friend to all the conformable clergy and laity of the true and apostolical Church of England. --  Parish churches turn'd into conventicles.",1
Susquehanna Indians.,1
Jesus Christ --  Knowableness.,1
"Bible. --  N.T. --  John II, 20 --  Sermons.",1
"Mary, --  of Modena, Queen, consort of James II, King of England, 1658-1718 --  Fiction.",1
Jacobites --  Controversial literature.,1
Earthquakes --  Jamaica --  Ethical aspects.,1
"Bible. --  O.T. --  Psalms LXXIII, 25 --  Sermons.",1
"Dary, Michael. --  Dary's miscellanies.",1
Chemistry --  England --  Early works to 1800.,1
Acids.,1
Alkalies.,1
Bible. --  O.T. --  Genesis I-IV --  Sermons.,1
"Lloyd, William, 1627-1717. --  Discourse of God's ways of disposing of kingdoms.",1
Judges.,1
"Brand, Thomas, 1635-1691.",1
"Poyer, John, d. 1649.",1
"Cradock, Nathaniel, b. 1594 or 5.",1
Pembrokeshire (Wales) --  History --  Sources.,1
"Felltham, Owen, 1602?-1668. --  Brief character of the Low-Countries under the states.",1
Netherlands --  Economic conditions.,1
Netherlands --  Social conditions.,1
Netherlands --  Civilization --  17th century.,1
Freedom of religion --  England --  Controversial literature.,1
"Fanshawe, Mary. --  A wonderful account of the cureing the Kings-evil.",1
Women --  England --  Employment --  Early works to 1800.,1
Loyal feast.,1
"Cotton, John, 1584-1652.",1
Examiner examind.,1
Prostitution --  England.,1
"Walker, George, 1645?-1690. --  True account of the siege of Londonderry.",1
Protestants --  Ireland.,1
Ireland --  History --  1688-1689.,1
Primogeniture --  England.,1
Slavery --  Algeria --  Algiers --  Personal narratives.,1
Algiers (Algeria) --  History.,1
"Gentilis, Valentinus, d. 1566.",1
Youth --  Conduct of life.,1
Neonatology --  Early works to 1800.,1
Fools and jesters --  England --  Early works to 1800.,1
England and Wales. --  Army --  Anecdotes,1
Trials (Military offenses) --  Great Britain.,1
"Sedgwick, William, 1609 or 10-1669? --  Second view of the army remonstrance.",1
"Frost, --  the broker, d. 1675.",1
Trials (Fraud) --  England.,1
"Southampton, Henry Wriothesley, --  Earl of, 1573-1624.",1
"Tyrone's Rebellion, 1597-1603.",1
"Harrison, Thomas, 1606-1660 --  Trials, litigation, etc.",1
"Ormonde, Elizabeth Butler, --  Duchess of, d. 1684.",1
Land titles --  Registration and transfer --  England.,1
Order of the Garter.,1
"Bible. --  N.T. --  Ephesians III, 8 --  Criticism, interpretation, etc.",1
Women's rights.,1
"Nottingham, Heneage Finch, --  Earl of, 1621-1682. --  Antidote against poison.",1
"Atkyns, Robert, --  Sir, 1621-1709.",1
Equity --  England --  Early works to 1800.,1
"Herbert of Cherbury, Edward Herbert, --  Baron, 1583-1648. --  Short account of the authorites in law, upon which judgment was given in Sir Edward Hale's case.",1
Great Britain --  Politics and government --  1642-1649 --  Sources.,1
"Atwood, William, d. 1705? --  Jus Anglorum ab antiquo.",1
"Stillingfleet, Edward, 1635-1699. --  Case of an oath of abjuration considered.",1
"Filmer, Robert, --  Sir, d. 1653.",1
"Molyneux, William, 1656-1698. --  Case of Ireland's being bound by acts of Parliament in England stated.",1
Feudal law --  England.,1
Bishops --  England --  Temporal power.,1
Constitutional history.,1
"Great Britain --  History --  Medieval period, 1066-1485.",1
Great Britain --  Politics and government --  1066-1485.,1
"Herbert, Edward, --  Sir, 1648?-1698. --  Short account of the authorities in law, upon E. Hales his case.",1
Dispensations (Law) --  Great Britain.,1
"William --  I, --  Prince of Orange, 1533-1584.",1
"Orange-Nassau, House of.",1
Acting.,1
"Aubrey, John, 1626-1697.",1
Spiritualism.,1
"Audland, John, 1630-1664.",1
"Audley, Hugh, d. 1662.",1
"Wealth --  England --  Handbooks, manuals, etc.",1
"Success --  England --  Handbooks, manuals, etc.",1
"Spain --  History --  Charles II, 1665-1700.",1
Arboriculture --  England --  Early works to 1800.,1
"Burton, John, 17th cent.",1
Emotions --  Religious aspects.,1
Italy --  Antiquities.,1
"Bell, Adam.",1
"Clym, --  of the Clough.",1
"William, --  of Cloudesley.",1
Seizure of vessels and cargoes.,1
Military discipline --  England.,1
"Donne, John, 1572-1631. --  Biathanatos.",1
"Hurst, Henry, 1629-1690.",1
"Bible. --  N.T. --  Corinthians, 2nd, V, 1 --  Sermons.",1
"Bible. --  O.T. --  Isaiah LXVI, 2 --  Sermons.",1
"Bible. --  N.T. --  Luke XX, 14 --  Sermons.",1
Truthfulness and falsehood.,1
Hairdressing --  Early works to 1800.,1
Fashion --  England --  Early works to 1800.,1
"Broad, Thomas, 1577 or 8-1635.",1
Aesop's fables. --  Polyglot.,1
Monarchy --  Anecdotes,1
Painting.,1
Painters --  Italy.,1
Netherlands.,1
Women --  Controversial literature --  Early works to 1800.,1
"Agrippa von Nettesheim, Heinrich Cornelius, 1486?-1535.",1
Scholasticism.,1
Confession.,1
Absolution.,1
Free schools --  England.,1
"Utrecht, Union of, 1579.",1
Self-interest.,1
Legal ethics.,1
Judicial ethics.,1
Madeira (Madeira Islands) --  Discovery and exploration.,1
Clergy --  Great Britain --  Office.,1
"Bible. --  N.T. --  Timothy, 2nd, IV, 7-8 --  Sermons.",1
England and Wales. --  Parliament. --  House of Commons. --  Declaration of the Commons of England in Parliament assembled expressing their reasons and grounds of passing the late resolutions touching no farther address or application to be made to the King.,1
"Henry, Philip, 1631-1696.",1
God --  Proof.,1
"Bible. --  N.T. --  Timothy, 2nd, I, 18 --  Sermons.",1
Future life --  Sermons.,1
Resignation.,1
"Macclesfield, Charles Gerard, --  Earl of, 1618?-1694.",1
"Laugharne, Rowland, d. 1676.",1
"Bible. --  N.T. --  Corinthians, 1st, IV, 21 --  Sermons.",1
"Bible. --  N.T. --  Peter, 1st, II, 15 --  Sermons.",1
Fever.,1
"Jiménez de Cisneros, Francisco, 1436?-1517.",1
Spain --  Politics and government --  1479-1516.,1
Spain --  Foreign relations --  1479-1516.,1
"Spain --  History --  Ferdinand and Isabella, 1479-1516.",1
"Bible. --  O.T. --  Ecclesiastes VI, 12 --  Sermons.",1
"Dodwell, Henry, 1641-1711.",1
"Baxter, Margaret Charlton, 1636-1681.",1
"Bagshaw, Edward, 1629-1671. --  Antidote against Mr. Baxters palliated cure of church divisions.",1
"Baxter, Richard, 1615-1691. --  Cure of church-divisions.",1
"Bible. --  N.T. --  Philippians I, 23 --  Meditations.",1
"Baxter, Richard, 1615-1691 --  Bibliography.",1
Lord's Supper --  Miscellanea.,1
"Hutchinson, William, fl. 1676-1679. --  Catholick naked truth.",1
Assurance (Theology),1
Puritans --  Apologetic works.,1
"Worcester, Henry Somerset, --  Marquis of, 1577-1646.",1
Meditations --  Juvenile literature.,1
"Bible. --  O.T. --  Numbers XXXIII, 2 --  Commentaries.",1
Fruit-culture --  England --  Herefordshire.,1
Future life --  History of doctrines --  Early works to 1800.,1
Christian life --  Meditations.,1
Inquisition.,1
Kings and rulers --  Genealogy.,1
"Whitehead, George, 1636?-1723. --  Truth and innocency vindicated.",1
"Tʻeimuraz I, --  King of Georgia, 1589-1663.",1
"Berkeley, Henrietta, --  Lady, 1664 or 5-1710.",1
"Tankerville, Forde Grey, --  Earl of, 1655-1701.",1
"Loss, Friedrich. --  Observationum medicinalium libri quatuor.",1
J. H. --  Socinian slain.,1
Monotheism --  Early works to 1800.,1
Tritheism --  Early works to 1800.,1
"Bible. --  O.T. --  Hosea II, 14 --  Criticism, interpretation, etc.",1
"Bellarmino, Roberto Francesco Romolo, --  Saint, 1542-1621. --  De notis ecclesiae.",1
"Bible --  Evidences, authority, etc. --  Controversial literature.",1
Wisdom.,1
"Smallwood, Allan, 1608-1686. --  Sermon preached at Carlisle, Aug. 17, 1664.",1
Oaths --  Moral and ethical aspects --  Early works to 1800.,1
"Themistocles, ca. 524-ca. 459 B.C.",1
Euripides.,1
Greek literature --  History and criticism.,1
"Criminal justice, Administration of.",1
Prisons --  Great Britain.,1
"Trinity House (London, England)",1
Merchant mariners --  Missions and charities --  England.,1
Emperors --  Rome.,1
"Bible --  Handbooks, manuals, etc.",1
"Hollingworth, Richard, 1639?-1701. --  Second defence of King Charles I.",1
"Wilson, Joseph, --  of Yarmouth. --  To Mr. Luke Milbourn, minister of Great-Yarmouth and assistant to Dr. Hollingworth in his might undertakings.",1
Blood --  Early works to 1800.,1
"Mary --  II, --  Queen of England, 1662-1694 --  Sermons.",1
"Bible. --  O.T. --  Habakkuk III, 2 --  Sermons.",1
"Bible. --  English. --  Selections --  Paraphrases, English.",1
Bible. --  O.T. --  Psalms. --  English. --  King. --  1654.,1
"Bible. --  O.T. --  Psalms CI, 1 --  Sermons.",1
Judgment --  Sermons.,1
Homicide.,1
Grand jury --  England.,1
"Bible. --  O.T. --  Psalms I-XX --  Paraphrases, English.",1
"Bible. --  O.T. --  Jonah --  Paraphrases, English.",1
"Bible. --  O.T. --  Psalms --  Paraphrases, French.",1
"Church and state --  England --  Anecdotes, facetiae, satire, etc.",1
"Karl --  XI, --  King of Sweden, 1655-1697.",1
Scientific expeditions.,1
"Refraction, Astronomical.",1
Martyrologies.,1
Persecution --  History.,1
"Great Britain --  History --  Lancaster and York, 1399-1485.",1
"Savelli, Troilo, d. 1592.",1
"Hoyle, Elizabeth, d. 1639.",1
"Henry --  VII, --  King of England, 1457-1509.",1
"Leddra, William, d. 1661.",1
Uses (Law) --  Early works to 1800.,1
To George Bishop of Bristol and to the rest of that party commonly called Quakers.,1
Jesus Christ --  Passion --  Sermons --  Early works to 1800.,1
Winds --  Early works to 1800.,1
Great Britain --  Officials and employees.,1
Horsemanship.,1
"Bible. --  O.T. --  Psalms LXXXII, 1 --  Sermons.",1
"Bible. --  O.T. --  Isaiah IV, 2 --  Meditations.",1
Sight-singing.,1
"Guillim, John, 1565-1621. --  Display of heraldry.",1
Heraldry --  Great Britain --  17th century.,1
Nobility --  Great Britain --  History --  17th century.,1
Encyclopedias and dictionaries --  Early works to 1800.,1
Sports --  Great Britain.,1
Pindar.,1
"Turkey --  History --  Süleyman II, 1687-1691 --  Early works to 1800.",1
Vienna (Austria) --  History --  Early works to 1800.,1
Friendly vindication of Mr. Dreyden.,1
"Baker, Richard, --  Sir, 1568-1645. --  Chronicle of the kings of England.",1
"Worcester, Battle of, 1651.",1
Land tenure --  Great Britain --  History.,1
Manors --  Great Britain.,1
English language --  Dictionaries --  Early works to 1700.,1
Bankruptcy --  Great Britain.,1
Fraudulent conveyances --  Great Britain.,1
"Griffin, Lewis. --  Asses complaint against Balaam.",1
"Boate, Margaret, 1625-1651.",1
Poisoning.,1
Botany --  Italy.,1
Botany --  France.,1
Botany --  Malta.,1
Mysticism --  History.,1
"Böhme, Jakob, 1575-1624. --  Morgenröte im Aufgang.",1
"Walther, Balthasar, 1586-1640.",1
"Boethius, d. 524.",1
Punishment.,1
"Jones, William, --  Sir, 1631-1682. --  Just and modest vindication of the proceedings of the two last Parliaments.",1
"Athanasius, --  Saint, Patriarch of Alexandria, d. 373.",1
Great Britain --  Social conditions --  17th century.,1
"Bible. --  N.T. --  Matthew XIV, 22-28 --  Sermons.",1
Fruit-culture --  France.,1
Aging.,1
Tree of life.,1
Philosophers --  France --  Biography.,1
"Dudley, Alice Dudley, --  Duchess, d. 1669.",1
"Caffaro, Francesco, ca. 1650-1720. --  Lettre d'un théologien consulté par l'auteur pour savoir si la comédie puet être permise.",1
Theator --  Moral and ethical aspects --  Early works to 1800.,1
Theater --  France --  History --  17th century --  Early works to 1800.,1
"Politics, Practical --  Early works to 1800.",1
Military education --  Early works to 1800.,1
"Anderson, Sybilla, d. 1661 --  Early works to 1800.",1
"Boteler, William, d. 1678. --  Trials, litigation, etc.",1
Dueling.,1
Fasts and feasts --  England.,1
"Colbatch, John, --  Sir, 1670-1729.",1
"Leigh, Charles, 1662-1701?",1
"France. --  Treaties, etc. Spain, 1659-11-07 --  Early works to 1800.",1
France --  Foreign relations --  Spain --  Early works to 1800.,1
Spain --  Foreign relations --  France --  Early works to 1800.,1
"Buchanan, David, 1595?-1652? --  Truth its manifest, or, A short and true relation.",1
Scotland. --  Army.,1
"Hare, Henry.",1
Phosphorus --  Early works to 1800.,1
Blessing and cursing.,1
"Line, Francis, 1595-1675. --  Tractatus de corporum inseparabilitate.",1
"Hobbes, Thomas, 1588-1679. --  Dialogus physicus.",1
"Boyle, Robert, 1627-1691 --  Bibliography.",1
"Hobbes, Thomas, 1588-1679. --  Problemata physica.",1
Pneumatics --  Early works to 1800.,1
"Bible. --  O.T. --  Kings, 1st, XIX, 4 --  Sermons.",1
Quacks and quackery --  England --  Early works to 1800.,1
Moderation --  Religious aspects.,1
"Andrews, Eusebius, d. 1650.",1
"Somers, John Somers, --  Baron, 1651-1716. --  Brief history of the succession.",1
Young men.,1
Jesus Christ --  Parables --  Meditations.,1
"Eachard, John, 1636?-1697.",1
"Hobbes, Thomas, 1588-1679. --  Questions concerning liberty.",1
Necessity (Philosophy),1
Covenanters --  England.,1
"Smith, Richard, 1566-1655. --  Brief survey of the Lord of Derry his treatise of schism.",1
"Sergeant, John, 1622-1707. --  Schism disarm'd.",1
"Bible. --  O.T. --  Psalms CXXVI, 7 --  Sermons.",1
"Brandon, Richard, d. 1649.",1
"Chaucer, Geoffrey, d. 1400. --  Miller's tale.",1
"Chaucer, Geoffrey, d. 1400. --  Wife of Bath's tale.",1
Moderation.,1
Ship-money --  Anecdotes,1
Family --  Prayer-books and devotions.,1
Church libraries.,1
"Love stories, French --  Early works to 1800.",1
"Belon, P. --  (Peter)",1
"Brend, William, d. 1676. --  Short declaration of the purpose and decree of the everlasting counsel of Gods heavenly host.",1
"Bible. --  N.T. --  Epistles of John, 1st, V, 4 --  Sermons.",1
"Bible. --  N.T. --  John III, 4 --  Sermons.",1
"James --  II, --  King of England, 1633-1701 --  Family.",1
"Tate, Nahum, 1652-1715.",1
"Brady, Nicholas, 1659-1726.",1
Episcopal Church in Scotland --  Controversial literature.,1
Printing --  England.,1
Printers --  England.,1
"Ordinances, Municipal --  England --  London.",1
Disasters --  England --  Religious aspects --  Christianity.,1
Presbyterianism --  History.,1
Congregationalism --  History.,1
"Dissenters, Religious --  England --  History.",1
"Lawyers --  Handbooks, manuals, etc.",1
Law --  Early works to 1800.,1
"Abnormalities, Human --  England.",1
Monsters --  England.,1
France --  Church history --  17th century.,1
"Bible. --  N.T. --  Revelation XIII --  Criticism, interpretation, etc.",1
Patriotism --  England.,1
"Seller, Abednego, 1646?-1705. --  History of passive obedience since the Reformation.",1
Bank of England.,1
Land banks --  Great Britain.,1
Religious life.,1
Holiness --  Sermons.,1
"Sall, Andrew, 1612-1682. --  True catholic and apostolic faith maintain'd in the Church of England.",1
Mathematical instruments.,1
"Tombes, John, 1603?-1676. --  Theodulia.",1
Baptists --  Great Britain.,1
"Jones, David, 1663-1724?",1
"Sherlock, William, 1641?-1707 --  In literature.",1
Etching --  17th century.,1
Royal touch.,1
Wounds and injuries --  Early works to 1800.,1
Muscles --  Early works to 1800.,1
"Prynne, William, 1600-1669. --  Histrio-mastix.",1
"Mead, Matthew, 1630?-1699.",1
Abingdon (England) --  History --  17th century --  Early works to 1800.,1
Urn burial.,1
Norfolk (England) --  Antiquities.,1
"Errors, Popular.",1
"Stillingfleet, Edward, 1635-1699. --  Vindication of Their Majesties authority to fill the sees of the deprived bishops.",1
"Bible. --  N.T. --  Revelation XX, 12 --  Sermons.",1
"Bible. --  O.T. --  Psalms XXXVII, 13 --  Sermons.",1
"Bible. --  N.T. --  Corinthians, 2nd, V, 11 --  Sermons.",1
"John, --  the Baptist, Saint.",1
"Great Britain --  History --  Restoration, 1660-1688 --  Sources.",1
Coins in the Bible --  Early works to 1800.,1
"Weights and measures, Jewish --  Early works to 1800.",1
"Cater, Samuel, d. 1711.",1
"Tyso, John, d. 1700.",1
"Aynsloe, John, d. 1693.",1
"Bugg, Francis, 1640-1724? --  Quakerism expos'd to publick censure.",1
"Field, John, 1652-1723. --  Defence of An apology for the people called Quakers.",1
"Whitehead, George, 1636?-1723. --  Innocency against envy.",1
Catholics --  England --  Anecdotes,1
English language --  Dictionaries.,1
Transmigration.,1
Pythagoras and Pythagorean school.,1
Nonverbal communication.,1
Gesture.,1
Face --  Muscles --  Early works to 1800.,1
Facial expression.,1
Deafness --  Early works to 1800.,1
Deaf --  Means of communication --  Early works to 1800.,1
Lipreading --  Early works to 1800.,1
Truth --  Religious aspects --  Christianity.,1
"Fowler, Edward, 1632-1714 --  Controversial literature --  Early works to 1800.",1
Latitudinarianism (Church of England) --  Controversial literature --  Early works to 1800.,1
"Bible. --  N.T. --  Mark VIII, 37 --  Sermons.",1
"Bible. --  N.T. --  Corinthians, 2nd. --  Commentaries.",1
"Bible. --  N.T. --  Corinthians, 2nd. --  Sermons.",1
"Bible. --  N.T. --  Corinthians, 1st, III --  Commentaries.",1
"Bible. --  O.T. --  Psalms IV, 6-8 --  Sermons.",1
"Sin, Original.",1
Spirituality --  Early works to 1800.,1
"Collins, Ursula, d. 1688 --  Early works to 1800.",1
"Fleming, Robert, 1630-1694.",1
"Hale, Matthew, --  Sir, 1609-1676 --  Early works to 1800.",1
Judges --  Great Britain --  Biography --  Early works to 1800.,1
"Edwards, John, 1637-1716.",1
"Orrery, Charles Boyle, --  Earl of, 1676-1731.",1
"Le Clerc, Jean, 1657-1736. --  Ars critica.",1
"Catholic Church --  Clergy --  Appointment, call, and election.",1
"Church of England --  Clergy --  Appointment, call, and election.",1
"Locke, John, 1632-1704. --  Mr. Locke's reply to the ... Bishop of Worcester's answer to his letter concerning ... Mr. Locke's Essay of human understanding.",1
Cosmology.,1
Earth.,1
Society of Friends --  History.,1
Presbyterians --  Anecdotes,1
"Keill, John, 1671-1721. --  Examination of Dr. Burnet's Theory of the earth.",1
"Burthogge, Richard, 1638?-ca. 1700. --  Essay upon reason.",1
"Antoninus Pius, --  Emperor of Rome, 86-161.",1
Itinerarium Antonini.,1
"Names, Geographical --  Latin.",1
"Names, Geographical --  England.",1
"Great Britain --  History --  Roman period, 55 B.C.-449 A.D.",1
Religion and law.,1
"Hoghton, Richard, --  Sir, d. 1678.",1
Stamford (England) --  History.,1
"Hall, Joseph, 1574-1656. --  Resolutions and decisions of divers practicall cases of conscience.",1
Jews.,1
"Byam, Henry, 1580-1669.",1
"Byam, William, 1623-1670.",1
Suriname --  Politics and government --  To 1814.,1
Great Britain --  Colonies --  Administration.,1
"Lily, William, 1468?-1522. --  Shorte introduction to grammar --  Early works to 1800.",1
"Rainbowe, Edward, 1608-1684.",1
Shorthand.,1
Currency question --  Great Britain.,1
Coinage --  Great Britain --  Early works to 1800.,1
"Brown, John, 1610?-1679. --  Quakerisme the pathway to paganisme.",1
"Bible. --  O.T. --  Psalms II, 10 --  Sermons.",1
Plague --  England --  Prevention.,1
Epidemics --  England.,1
Salt --  Physiological effect --  Early works to 1800.,1
"Willet, Andrew, 1562-1621.",1
"Norborne, Walter, d. 1659.",1
"Duppa, Brian, 1588-1662.",1
