subject_heading,frequency
Witchcraft --  England --  Early works to 1800.,9
Young men --  Conduct of life --  Early works to 1800.,9
Cookery --  Early works to 1800.,9
Home economics --  Early works to 1800.,9
Great Britain --  Kings and rulers --  Early works to 1800.,9
Demonology --  Early works to 1800.,9
Criminals --  England --  Early works to 1800.,9
Mass --  Early works to 1800.,9
Masques.,9
"History, Ancient --  Early works to 1800.",9
Geometry --  Early works to 1800.,9
"France --  History --  Louis XIV, 1643-1715.",9
"Dryden, John, 1631-1700.",9
Physics --  Early works to 1800.,9
Episcopacy.,9
Great Britain --  Politics and government --  1625-1649.,9
Great Britain --  History --  1660-1714.,9
Detention of persons --  England --  Early works to 1800.,9
Dialing --  Early works to 1800.,8
Tobacco --  Early works to 1800.,8
"Spiritual life --  Modern period, 1500-.",8
"France --  History --  Henry IV, 1589-1610 --  Early works to 1800.",8
Maxims --  Early works to 1800.,8
Lord's Supper --  Real presence --  Early works to 1800.,8
"Henry --  IV, --  King of France, 1553-1610 --  Early works to 1800.",8
Christian life --  Protestant authors --  Early works to 1800.,8
Recipes --  Early works to 1800.,8
Courtesy --  Early works to 1800.,8
Omens --  Early works to 1800.,8
English language --  Grammar --  Early works to 1800.,8
Falconry --  Early works to 1800.,8
Murder --  England.,8
Epitaphs --  England --  Early works to 1800.,8
Manners and customs --  Early works to 1800.,8
Fables --  Early works to 1800.,8
Fishing --  Early works to 1800.,8
"Bible. --  O.T. --  Song of Solomon --  Paraphrases, English.",8
Grace (Theology),8
Future life.,8
Pharmacy --  Early works to 1800.,8
"Jeffreys, George Jeffreys, --  Baron, 1644 or 5-1689.",8
Marriage.,8
Great Britain --  History --  Prophecies.,8
"Sermons, American --  17th century.",8
Schism --  Early works to 1800.,8
Infant baptism.,8
Christian life --  Sermons.,8
"Sin, Original --  Early works to 1800.",8
Murder --  England --  Early works to 1800.,8
Faith.,8
"Great Britain --  History --  Puritan Revolution, 1642-1660 --  Early works to 1800.",8
Europe --  History --  17th century.,8
Immortality --  Early works to 1800.,8
Witchcraft.,8
"Charles --  II, --  King of England, 1630-1685 --  Coronation.",8
Treason --  England --  Early works to 1800.,8
Ten commandments --  Early works to 1800.,8
Physicians --  England --  Early works to 1800.,8
"Prerogative, Royal --  England --  Early works to 1800.",8
"William --  III, --  King of England, 1650-1702 --  Early works to 1800.",8
Civil rights --  England --  Early works to 1800.,8
"Great Britain --  History --  Civil War, 1642-1649 --  Prophecies --  Early works to 1800.",8
Roundheads --  Early works to 1800.,8
"Lilburne, John, 1614?-1657 --  Early works to 1800.",8
Church of Scotland --  Government --  Early works to 1800.,8
"Debt, Imprisonment for --  England --  Early works to 1800.",8
Crime --  England --  Early works to 1800.,8
Horsemanship --  Early works to 1800.,8
Apostles' Creed --  Commentaries.,8
Christian ethics.,8
Church of England --  Early works to 1800.,8
"Christianity --  Essence, genius, nature.",8
Protestantism.,8
Redemption.,8
Operas --  Librettos.,8
Free will and determinism.,8
Physiology --  Early works to 1800.,8
Solemn League and Covenant (1643),8
"Collier, Jeremy, 1650-1726. --  Short view of the immorality and profaneness of the English stage.",8
Socinianism --  Early works to 1800.,8
Congregationalism --  Early works to 1800.,8
"Laud, William, 1573-1645 --  Early works to 1800.",8
"Mary, --  Blessed Virgin, Saint --  Early works to 1800.",7
"Gunpowder Plot, 1605 --  Early works to 1800.",7
Rogues and vagabonds --  Early works to 1800.,7
Great Britain --  Social conditions --  Early works to 1800.,7
"Dialogues, English --  Early works to 1800.",7
Great Britain --  Biography --  Early works to 1800.,7
Anagrams --  Early works to 1800.,7
Catholic Church --  England --  Controversial literature --  Early works to 1800.,7
"Emblem books, English --  Early works to 1800.",7
"Mary, --  Blessed Virgin, Saint.",7
Jesus Christ --  Nativity --  Early works to 1800.,7
Christian life --  Catholic authors.,7
Characters and characteristics.,7
Church of England. --  Controversial literature --  Puritan authors --  Early works to 1800.,7
Arithmetic --  Early works to 1900.,7
"Drake, Francis, --  Sir, 1540?-1596.",7
Emotions --  Early works to 1850.,7
Syphilis --  Early works to 1800.,7
Readers (Primary) --  Early works to 1800.,7
Botany --  Pre-Linnean works.,7
Protestants --  England --  Early works to 1800.,7
Theater --  England.,7
Clergy --  England.,7
Death --  Sermons.,7
God --  Wrath --  Early works to 1800.,7
Transubstantiation.,7
Jesus Christ --  Divinity --  Early works to 1800.,7
"Dryden, John, 1631-1700 --  In literature.",7
Great Britain --  Politics and government --  1603-1714.,7
Love.,7
Apocalyptic literature.,7
"Strafford, Thomas Wentworth, --  Earl of, 1593-1641.",7
Catholic Church --  Anecdotes,7
Transubstantiation --  Early works to 1800.,7
"Hind, James, d. 1652.",7
Man (Theology) --  Early works to 1800.,7
Fever --  Early works to 1800.,7
Maxims.,7
Law --  England.,7
Great Britain --  Foreign relations --  Spain --  Early works to 1800.,7
"Religious satire, English --  Early works to 1800.",7
"France --  History --  Louis XIV, 1643-1715 --  Early works to 1800.",7
Pride and vanity --  Early works to 1800.,7
Second Advent.,7
Youth --  Conduct of life --  Early works to 1800.,7
"Great Britain --  History --  Civil War, 1642-1649 --  Sources.",7
