TCP_name_heading,original_ids
"John Mayer, 1583-1664","Mayer, John, 1583-1664.; Mayer, John, 1583-1664.; Mayer, John, 1583-1664.; Mayer, John, 1583-1664."
"Dochant Dochant, George","Dochant, George."
"Hotchkis Hotchkis, Thomas","Hotchkis, Thomas."
"Nicols Nicols, Henry","Nicols, Henry."
"Stratton Stratton, W","Stratton, W., editor."
"Henry Marten, 1602-1680","Marten, Henry, 1602-1680.; Marten, Henry, 1602-1680.; Marten, Henry, 1602-1680."
"William Hughes, born 1624 or 5","Hughes, William, b. 1624 or 5.; Hughes, William, b. 1624 or 5.; Hughes, William, b. 1624 or 5.; Hughes, William, b. 1624 or 5."
"John Collinges, 1623-1690, attributed name","Collinges, John, 1623-1690, attributed name.; Collinges, John, 1623-1690, attributed name."
"John Durant John Durant, born 1620","John Durant, b. 1620."
"Sir Mervyn, Audley, died 1675","Mervyn, Audley, Sir, d. 1675.; Mervyn, Audley, Sir, d. 1675.; Mervyn, Audley, Sir, d. 1675."
"Elcock Elcock, Ephraim","Elcock, Ephraim."
"Ling Ling, John","Ling, John."
"Nicholas Culpeper, 1616-1654","Culpeper, Nicholas, 1616-1654.; Culpeper, Nicholas, 1616-1654. Mr Culpepper's Ghost.; Culpeper, Nicholas, 1616-1654.; Culpeper, Nicholas, 1616-1654."
"Nicaise Le Fèvre, 1610-1669","Le Fèvre, Nicaise, 1610-1669."
P,"P. D. C., One of the gentlemen of His Majesties Privy-Chamber.; P., Theophilus.; P. S.; P. H."
J. G. (John Gibson),J. G. (John Gibson)
"Hawke Hawke, Michael","Hawke, Michael.; Hawke, Michael.; Hawke, Michael."
"William Sherlock, 1641?-1707","Sherlock, William, 1641?-1707.; Sherlock, William, 1641?-1707.; Sherlock, William, 1641?-1707.; Sherlock, William, 1641?-1707.; Sherlock, William, 1641?-1707.; Sherlock, William, 1641?-1707.; Sherlock, William, 1641?-1707.; Sherlock, William, 1641?-1707.; Sherlock, William, 1641?-1707."
"William Falkner, died 1682","Falkner, William, d. 1682."
"of Neyath Jones, John, Brecon","Jones, John, of Neyath, Brecon.; Jones, John, of Neyath, Brecon."
"John Cotton, 1584-1652","Cotton, John, 1584-1652.; Cotton, John, 1584-1652.; Cotton, John, 1584-1652. Censure ... upon the way of Mr. Henden.; Cotton, John, 1584-1652."
"Joseph Keble, 1632-1710","Keble, Joseph, 1632-1710."
"Masterson Masterson, Geo","Masterson, Geo. (George); Masterson, Geo. (George)"
"King of England Charles I, 1600-1649, attributed name","Charles I, King of England, 1600-1649, attributed name.; Charles I, King of England, 1600-1649, attributed name."
"Harwood Harwood, James","Harwood, James."
"A. C. (Arthur Crowther) A. C. (Arthur Crowther), 1588","A. C. (Arthur Crowther), 1588-1666.; A. C. (Arthur Crowther), 1588-1666.; A. C. (Arthur Crowther), 1588-1666. aut"
"T. V. (Thomas Vincent) T. V. (Thomas Vincent), 1604","T. V. (Thomas Vincent), 1604-1681.; T. V. (Thomas Vincent), 1604-1681.; T. V. (Thomas Vincent), 1604-1681."
"and loves his person One who hates not the man, but his manners, but likes not his condition","One who hates not the man, but his manners, and loves his person, but likes not his condition."
"Randall Randall, Giles","Randall, Giles."
"Cardinal Nicholas, of Cusa, 1401-1464","Nicholas, of Cusa, Cardinal, 1401-1464."
"Henden Henden, Simon","Henden, Simon."
"Sir Mennes, John, 1599-1671","Mennes, John, Sir, 1599-1671."
Philocrates,Philocrates.
"Hinton Hinton, Benjamin","Hinton, Benjamin."
"Thomas Dugard, born 1587 or 8","Dugard, Thomas, b. 1587 or 8.; Dugard, Thomas, b. 1587 or 8."
"James Wood, 1608-1664","Wood, James, 1608-1664.; Wood, James, 1608-1664."
"James Guthrie, 1612?-1661","Guthrie, James, 1612?-1661."
"Earl of Strafford, Thomas Wentworth, 1593-1641","Strafford, Thomas Wentworth, Earl of, 1593-1641.; Strafford, Thomas Wentworth, Earl of, 1593-1641.; Strafford, Thomas Wentworth, Earl of, 1593-1641."
"John Pym, 1584-1643","Pym, John, 1584-1643.; Pym, John, 1584-1643."
"Thomas Cartwright, 1634-1689","Cartwright, Thomas, 1634-1689.; Cartwright, Thomas, 1634-1689.; Cartwright, Thomas, 1634-1689.; Cartwright, Thomas, 1634-1689."
"William Knight, minister of Whitby","Knight, William, minister of Whitby."
"Richard Waller, died 1657","Waller, Richard, d. 1657."
"Samuel Eaton, 1596?-1665","Eaton, Samuel, 1596?-1665.; Eaton, Samuel, 1596?-1665."
"died 1605 Gallonio, Antonio, attributed name","Gallonio, Antonio, d. 1605, attributed name."
"Bacci Bacci, Pietro Giacomo","Bacci, Pietro Giacomo."
"Saint Augustine, Bishop of Hippo","Augustine, Saint, Bishop of Hippo.; Augustine, Saint, Bishop of Hippo.; Augustine, Saint, Bishop of Hippo. De civitate Dei. Book 22. Chapter 8. English.; Augustine, Saint, Bishop of Hippo.; Augustine, Saint, Bishop of Hippo.; Augustine, Saint, Bishop of Hippo.; Augustine, Saint, Bishop of Hippo.; Augustine, Saint, Bishop of Hippo.; Augustine, Saint, Bishop of Hippo.; Augustine, Saint, Bishop of Hippo."
"Houghton Houghton, Aylmer","Houghton, Aylmer."
"George Kendall, 1610-1663","Kendall, George, 1610-1663."
"Obadiah Howe, 1615 or 16-1683","Howe, Obadiah, 1615 or 16-1683.; Howe, Obadiah, 1615 or 16-1683.; Howe, Obadiah, 1615 or 16-1683."
"John Dauncey, active 1633","Dauncey, John, fl. 1633."
"Lambert van den Bos, 1640-1698","Bos, Lambert van den, 1640-1698. Florus Anglicanus."
"William Greenhill, 1591-1671","Greenhill, William, 1591-1671.; Greenhill, William, 1591-1671."
"Hubbard Hubbard, Benjamin","Hubbard, Benjamin."
"Neville Neville, Francis de","Neville, Francis de."
"William Elder, active 1680-1700","Elder, William, fl. 1680-1700."
"active 1640 J. G. (John Gough), attributed name.","J. G. (John Gough), fl. 1640, attributed name."
"John Danvers, attributed name","Danvers, John, attributed name."
"Thomas Gery, died 1670?","Gery, Thomas, d. 1670?"
"died 1657 Cranford, James, attributed name","Cranford, James, d. 1657, attributed name."
"17th cent Craufurd, James, attributed name","Craufurd, James, 17th cent, attributed name."
"Johann Amos Comenius, 1592-1670","Comenius, Johann Amos, 1592-1670.; Comenius, Johann Amos, 1592-1670.; Comenius, Johann Amos, 1592-1670.; Comenius, Johann Amos, 1592-1670.; Comenius, Johann Amos, 1592-1670.; Comenius, Johann Amos, 1592-1670."
"William Langley, born 1609 or 10","Langley, William, b. 1609 or 10.; Langley, William, b. 1609 or 10."
"John Drew, active 1649-1651","Drew, John, fl. 1649-1651."
"John Taylor, 1580-1653,","Taylor, John, 1580-1653,"
"John Gumbleden, 1598 or 9-1657","Gumbleden, John, 1598 or 9-1657."
"Richard Cheyney, attributed name","Cheyney, Richard, attributed name."
"Oxford Oxford, Wendy","Oxford, Wendy. Unexpected life, & wished for death, of the thing called parliament in England."
"Malpas Malpas, Thomas","Malpas, Thomas."
"Duckett Duckett, Thomas","Duckett, Thomas."
"Marinel Marinel, Philip","Marinel, Philip."
"Louis Cappel, 1585-1658","Cappel, Louis, 1585-1658."
"Christopher Fowler, 1610?-1678","Fowler, Christopher, 1610?-1678."
"John Musgrave, active 1654","Musgrave, John, fl. 1654."
"Lemmon Lemmon, Abigail","Lemmon, Abigail."
"Dox Dox, Ruth","Dox, Ruth."
"of Deresbury Daniel, John, Cheshire","Daniel, John, of Deresbury, Cheshire."
"Nelson Nelson, Abraham","Nelson, Abraham."
Well-wisher to the Common-wealth,Well-wisher to the Common-wealth.
"Count Palatine Rupert, Prince, 1619-1682","Rupert, Prince, Count Palatine, 1619-1682.; Rupert, Prince, Count Palatine, 1619-1682."
"Crane Crane, Sir","Crane, Sir."
"Arthur Knight, died 1653","Knight, Arthur, d. 1653."
"Richard Harwood, died 1669","Harwood, Richard, d. 1669."
"John Douch, born 1622 or 3","Douch, John, b. 1622 or 3."
"Jan Drapentier, active 1674-1713","Drapentier, Jan, fl. 1674-1713."
"Henry Cromwell, 1628-1674","Cromwell, Henry, 1628-1674."
"Francis Nower, died 1670","Nower, Francis, d. 1670."
"John Guillim, 1565-1621","Guillim, John, 1565-1621.; Guillim, John, 1565-1621."
"James Naylor, 1617?-1660","Naylor, James, 1617?-1660."
"Theophilus Gale, 1628-1678","Gale, Theophilus, 1628-1678.; Gale, Theophilus, 1628-1678.; Gale, Theophilus, 1628-1678.; Gale, Theophilus, 1628-1678.; Gale, Theophilus, 1628-1678.; Gale, Theophilus, 1628-1678."
"Gabriel Dugrès, active 1643","Dugrès, Gabriel, fl. 1643."
"Abednego Seller, 1646?-1705","Seller, Abednego, 1646?-1705.; Seller, Abednego, 1646?-1705.; Seller, Abednego, 1646?-1705."
"Henry Denne, 1606 or 7-1660?","Denne, Henry, 1606 or 7-1660?"
"Langrish Langrish, Hercules","Langrish, Hercules."
Noble hand,Noble hand.; Noble hand.
"Edward Gee, 1613-1660","Gee, Edward, 1613-1660.; Gee, Edward, 1613-1660."
"Peter English, a friend to freedom","English, Peter, a friend to freedom."
Eglises réformées de France. Synode national (1644-1645 : Charenton-le-Pont),Eglises réformées de France. Synode national (1644-1645 : Charenton-le-Pont)
"King of France Anne, Queen, consort of Louis XIII, 1601-1666","Anne, Queen, consort of Louis XIII, King of France, 1601-1666."
France. Sovereign (1643-1715 : Louis XIV),France. Sovereign (1643-1715 : Louis XIV)
"William Grant, died 1678","Grant, William, d. 1678."
"Thomas Larkham, 1602-1669","Larkham, Thomas, 1602-1669."
"George Joyce, active 1647","Joyce, George, fl. 1647."
"Robert May, born 1588","May, Robert, b. 1588."
"Richard Hollingworth, 1607-1656, attributed name","Hollingworth, Richard, 1607-1656, attributed name."
"Richard Hannam, died 1656","Hannam, Richard, d. 1656."
"Alexander Leighton, 1568-1649, attributed name","Leighton, Alexander, 1568-1649, attributed name."
"marchese Malvezzi, Virgilio, 1595-1653","Malvezzi, Virgilio, marchese, 1595-1653.; Malvezzi, Virgilio, marchese, 1595-1653."
"John Presbyter, Sir","Presbyter, John, Sir."
"Richard Holdsworth, 1590-1649","Holdsworth, Richard, 1590-1649.; Holdsworth, Richard, 1590-1649. Peoples happinesse.; Holdsworth, Richard, 1590-1649."
"Duke of Queensberry, James Douglas, 1662-1711","Queensberry, James Douglas, Duke of, 1662-1711."
"Marchamont Nedham, 1620-1678","Nedham, Marchamont, 1620-1678.; Nedham, Marchamont, 1620-1678.; Nedham, Marchamont, 1620-1678.; Nedham, Marchamont, 1620-1678.; Nedham, Marchamont, 1620-1678.; Nedham, Marchamont, 1620-1678.; Nedham, Marchamont, 1620-1678.; Nedham, Marchamont, 1620-1678.; Nedham, Marchamont, 1620-1678.; Nedham, Marchamont, 1620-1678.; Nedham, Marchamont, 1620-1678."
"William Ley, born 1620 or 21","Ley, William, b. 1620 or 21."
"George Wilde, 1610-1665","Wilde, George, 1610-1665."
"John Hewit, 1614-1658","Hewit, John, 1614-1658.; Hewit, John, 1614-1658.; Hewit, John, 1614-1658.; Hewit, John, 1614-1658."
"John Jackson, active 1651-1657","Jackson, John, fl. 1651-1657."
"William Lambarde, 1536-1601","Lambarde, William, 1536-1601.; Lambarde, William, 1536-1601.; Lambarde, William, 1536-1601."
"Foster Foster, Nicholas","Foster, Nicholas."
"Robert Gell, 1595-1665","Gell, Robert, 1595-1665.; Gell, Robert, 1595-1665.; Gell, Robert, 1595-1665.; Gell, Robert, 1595-1665."
"Lloyd Lloyd, M","Lloyd, M., Captain."
"Boatman Boatman, Mr","Boatman, Mr."
"Nicholas Mosley, 1611-1672","Mosley, Nicholas, 1611-1672."
"Evance Evance, Daniel","Evance, Daniel."
"John Jones, 17th cent","Jones, John, 17th cent."
"Johannes Havighurst, born 1701","Havighurst, Johannes, b. 1701."
"Timothy Taylor, 1611 or 12-1681","Taylor, Timothy, 1611 or 12-1681."
"Estwick Estwick, Nicolas","Estwick, Nicolas."
"Francis Herring, died 1628","Herring, Francis, d. 1628."
"Manasseh ben Israel Manasseh ben Israel, 1604","Manasseh ben Israel, 1604-1657.; Manasseh ben Israel, 1604-1657."
"Wall Wall, Moses","Wall, Moses."
Ireland,Ireland. Parliament.
"Coxe Coxe, Sem","Coxe, Sem."
"R. F. (Richard Farnworth) R. F. (Richard Farnworth), died 1666","R. F. (Richard Farnworth), d. 1666."
"Samuel Langley, died 1694","Langley, Samuel, d. 1694.; Langley, Samuel, d. 1694."
Angelus Francis,Angelus Francis.
Third Order Regular of St,Third Order Regular of St. Francis.
"Carpenter Carpenter, Agricola","Carpenter, Agricola."
"George Eglisham, active 1612-1642","Eglisham, George, fl. 1612-1642.; Eglisham, George, fl. 1612-1642."
"Michael Hudson, 1605-1648","Hudson, Michael, 1605-1648."
"Jeremy Collier, Fellow of St","Collier, Jeremy, Fellow of St. John's College, Cambridge."
"Edward Walsingham, died 1663","Walsingham, Edward, d. 1663.; Walsingham, Edward, d. 1663.; Walsingham, Edward, d. 1663.; Walsingham, Edward, d. 1663."
"Riddington Riddington, Francis","Riddington, Francis."
"Tromp Tromp, Maarten Harpertsz","Tromp, Maarten Harpertsz., 1598-1653."
"Thomas Warren, 1616 or 17-1694","Warren, Thomas, 1616 or 17-1694."
S. T. (Silvanus Taylor),S. T. (Silvanus Taylor)
"Edmund Warren, minister of the Gospel in Colchester","Warren, Edmund, minister of the Gospel in Colchester."
"Tell-Troth Tell-Troth, Thomas","Tell-Troth, Thomas.; Tell-Troth, Thomas."
"Faithful Teate, born 1621","Teate, Faithful, b. 1621.; Teate, Faithful, b. 1621.; Teate, Faithful, b. 1621."
"Samuel Smith, 1588-1665","Smith, Samuel, 1588-1665."
"Juan Pérez de Montalván, 1602-1638","Pérez de Montalván, Juan, 1602-1638.; Pérez de Montalván, Juan, 1602-1638.; Pérez de Montalván, Juan, 1602-1638."
Transformed church-warden,Transformed church-warden.
"Ezekias Woodward, 1590-1675","Woodward, Ezekias, 1590-1675.; Woodward, Ezekias, 1590-1675.; Woodward, Ezekias, 1590-1675.; Woodward, Ezekias, 1590-1675."
"William Sprigg, active 1657","Sprigg, William, fl. 1657.; Sprigg, William, fl. 1657."
"John Locke, Cleric","Locke, John, Cleric."
"Pressick Pressick, George","Pressick, George."
"Henry Robinson, 1605?-1664?","Robinson, Henry, 1605?-1664?; Robinson, Henry, 1605?-1664?"
"William Walwyn, 1600-1681, attributed name","Walwyn, William, 1600-1681, attributed name."
"Thomas Warmstry, 1610-1665","Warmstry, Thomas, 1610-1665.; Warmstry, Thomas, 1610-1665.; Warmstry, Thomas, 1610-1665.; Warmstry, Thomas, 1610-1665.; Warmstry, Thomas, 1610-1665.; Warmstry, Thomas, 1610-1665."
"John Parker, Baron of the Court of Exchequer","Parker, John, Baron of the Court of Exchequer."
"Cuthbert Sydenham, 1622-1654","Sydenham, Cuthbert, 1622-1654.; Sydenham, Cuthbert, 1622-1654."
"Ursula Quarles, born 1601","Quarles, Ursula, b. 1601."
"Baron Goring, George Goring, 1608-1657","Goring, George Goring, Baron, 1608-1657."
"Cornelius Mahony, died 1650","Mahony, Cornelius, d. 1650."
"John Sheffeild, died 1680","Sheffeild, John, d. 1680.; Sheffeild, John, d. 1680.; Sheffeild, John, d. 1680."
"Thomas Spencer, active 1658","Spencer, Thomas, fl. 1658."
"Emperor of Rome Constantine I, died 337","Constantine I, Emperor of Rome, d. 337."
Westminster Assembly (1643-1652),Westminster Assembly (1643-1652); Westminster Assembly (1643-1652)
"John Whincop, died 1647","Whincop, John, d. 1647."
"Thomas Reeve, 1594-1672","Reeve, Thomas, 1594-1672.; Reeve, Thomas, 1594-1672.; Reeve, Thomas, 1594-1672.; Reeve, Thomas, 1594-1672."
"Robert Sharrock, 1630-1684","Sharrock, Robert, 1630-1684.; Sharrock, Robert, 1630-1684.; Sharrock, Robert, 1630-1684.; Sharrock, Robert, 1630-1684."
"John Robinson, Preacher at East-Thorpe","Robinson, John, Preacher at East-Thorpe.; Robinson, John, Preacher at East-Thorpe."
"Robert Read, active 1653-1656","Read, Robert, fl. 1653-1656."
"Edmund Porter, 1595-1670","Porter, Edmund, 1595-1670.; Porter, Edmund, 1595-1670.; Porter, Edmund, 1595-1670.; Porter, Edmund, 1595-1670."
"Philanactos Philanactos, Demophilus","Philanactos, Demophilus."
"Staveley Staveley, Ambrose","Staveley, Ambrose."
"Richard Vines, 1600?-1656","Vines, Richard, 1600?-1656.; Vines, Richard, 1600?-1656."
"Anthony Burgess, died 1664","Burgess, Anthony, d. 1664.; Burgess, Anthony, d. 1664.; Burgess, Anthony, d. 1664.; Burgess, Anthony, d. 1664.; Burgess, Anthony, d. 1664.; Burgess, Anthony, d. 1664.; Burgess, Anthony, d. 1664.; Burgess, Anthony, d. 1664."
"Salomeau Salomeau, Paul","Salomeau, Paul."
"Thomas Wharton, 1614-1673","Wharton, Thomas, 1614-1673."
"John Tradescant, 1608-1662","Tradescant, John, 1608-1662."
"John Warner, 1581-1666","Warner, John, 1581-1666."
"John Vernon, active 1666","Vernon, John, fl. 1666."
"Rexophilus Londinatus Rexophilus Londinatus, Christianus protestans","Rexophilus Londinatus, Christianus protestans."
"Worth Worth, Edward","Worth, Edward."
"John Osborne, lover of the truth as it is in Jesus","Osborne, John, lover of the truth as it is in Jesus."
"John Canne, died 1667?","Canne, John, d. 1667?; Canne, John, d. 1667?; Canne, John, d. 1667?; Canne, John, d. 1667?; Canne, John, d. 1667?; Canne, John, d. 1667?; Canne, John, d. 1667?; Canne, John, d. 1667?"
Humble seeker of truth and peace,Humble seeker of truth and peace.
"Nehemiah Rogers, 1593-1660","Rogers, Nehemiah, 1593-1660.; Rogers, Nehemiah, 1593-1660.; Rogers, Nehemiah, 1593-1660.; Rogers, Nehemiah, 1593-1660.; Rogers, Nehemiah, 1593-1660."
"John Bastwick, 1593-1654","Bastwick, John, 1593-1654.; Bastwick, John, 1593-1654.; Bastwick, John, 1593-1654.; Bastwick, John, 1593-1654.; Bastwick, John, 1593-1654."
Phil-adelpho-Theo-basieus,Phil-adelpho-Theo-basieus.
"Willington Willington, George","Willington, George."
"George Smith, 1602 or 3-1658","Smith, George, 1602 or 3-1658.; Smith, George, 1602 or 3-1658."
"James Wilcock, died 1662","Wilcock, James, d. 1662."
"Thomas Speed, born 1622 or 3","Speed, Thomas, b. 1622 or 3."
"Phillippson Phillippson, J","Phillippson, J."
"Samuel Przypkowski, 1592-1670","Przypkowski, Samuel, 1592-1670."
"John Biddle, 1615-1662","Biddle, John, 1615-1662.; Biddle, John, 1615-1662. Twelve arguments drawn out of the Scripture.; Biddle, John, 1615-1662. Confession of faith touching the Holy Trinity, according to the Scripture.; Biddle, John, 1615-1662.; Biddle, John, 1615-1662.; Biddle, John, 1615-1662."
"Francis White, died 1657","White, Francis, d. 1657."
"Giovanni Benedetto Sinibaldi, 1594-1658","Sinibaldi, Giovanni Benedetto, 1594-1658."
"John Towers, died 1649","Towers, John, d. 1649."
"Henry Wilkinson, 1616-1690","Wilkinson, Henry, 1616-1690.; Wilkinson, Henry, 1616-1690."
"Thomas White, Presbyterian minister in London","White, Thomas, Presbyterian minister in London."
"William Secker, died 1681?","Secker, William, d. 1681?"
"Matthieu de Morgues, sieur de Saint-Germain, 1582-1670","Morgues, Matthieu de, sieur de Saint-Germain, 1582-1670."
"William Piers, 1580-1670","Piers, William, 1580-1670."
"Edward Parry, died 1650","Parry, Edward, d. 1650."
"Daniel Sennert, 1572-1637","Sennert, Daniel, 1572-1637."
"Abdiah Cole, circa 1610-circa 1670","Cole, Abdiah, ca. 1610-ca. 1670."
"Clement Writer, active 1627-1658","Writer, Clement, fl. 1627-1658."
"Rocket Rocket, John","Rocket, John."
"Paynell Paynell, Thomas","Paynell, Thomas."
"de Villanova Arnaldus, died 1311","Arnaldus, de Villanova, d. 1311."
"Ridley Ridley, John R","Ridley, John R."
"John Goodwin, 1594?-1665, attributed name","Goodwin, John, 1594?-1665, attributed name."
"Henry Vertue, died 1660","Vertue, Henry, d. 1660.; Vertue, Henry, d. 1660."
"William Price, died 1666","Price, William, d. 1666.; Price, William, d. 1666."
"James Ussher, 1581-1656","Ussher, James, 1581-1656.; Ussher, James, 1581-1656.; Ussher, James, 1581-1656.; Ussher, James, 1581-1656.; Ussher, James, 1581-1656.; Ussher, James, 1581-1656.; Ussher, James, 1581-1656.; Ussher, James, 1581-1656.; Ussher, James, 1581-1656.; Ussher, James, 1581-1656.; Ussher, James, 1581-1656.; Ussher, James, 1581-1656. Collection of three hundred letters.; Ussher, James, 1581-1656.; Ussher, James, 1581-1656.; Ussher, James, 1581-1656.; Ussher, James, 1581-1656.; Ussher, James, 1581-1656.; Ussher, James, 1581-1656.; Ussher, James, 1581-1656."
"William Bedell, 1571-1642","Bedell, William, 1571-1642.; Bedell, William, 1571-1642.; Bedell, William, 1571-1642."
"Anna Maria van Schurman, 1607-1678","Schurman, Anna Maria van, 1607-1678."
"Christopher Tesdale, born 1591 or 2","Tesdale, Christopher, b. 1591 or 2."
"Job Roys, 1633-1663","Roys, Job, 1633-1663."
"Ephraim Udall, died 1647","Udall, Ephraim, d. 1647."
"Sir Sanderson, William, 1586?-1676","Sanderson, William, Sir, 1586?-1676.; Sanderson, William, Sir, 1586?-1676.; Sanderson, William, Sir, 1586?-1676.; Sanderson, William, Sir, 1586?-1676.; Sanderson, William, Sir, 1586?-1676.; Sanderson, William, Sir, 1586?-1676."
"Peter Heylyn, 1660-1662, attributed name","Heylyn, Peter, 1660-1662, attributed name."
"Potter Potter, William","Potter, William."
"John Trapp, 1601-1669","Trapp, John, 1601-1669.; Trapp, John, 1601-1669.; Trapp, John, 1601-1669.; Trapp, John, 1601-1669.; Trapp, John, 1601-1669.; Trapp, John, 1601-1669. Mellificium theologicum.; Trapp, John, 1601-1669.; Trapp, John, 1601-1669.; Trapp, John, 1601-1669."
"One that feares God One that feares God, and honors his King","One that feares God, and honors his King.; One that feares God, and honors his King."
"Vauts Vauts, Moses a","Vauts, Moses à."
"George Searle, attributed name","Searle, George, attributed name."
"George Starkey, 1627-1665, attributed name","Starkey, George, 1627-1665, attributed name."
"Gilbert Sheldon, 1598-1677, attributed name","Sheldon, Gilbert, 1598-1677, attributed name."
"Theophilus Polwheile, died 1689","Polwheile, Theophilus, d. 1689."
"Thomas Porter, died 1667","Porter, Thomas, d. 1667."
"Haggar Haggar, Henry","Haggar, Henry."
"Sir Browne, Richard, 1602?-1669","Browne, Richard, Sir, 1602?-1669.; Browne, Richard, Sir, 1602?-1669."
"Thomas Trescot, 1611 or 12-1684","Trescot, Thomas, 1611 or 12-1684."
"Ecthrobabylonicus Ecthrobabylonicus, Sionophilus","Ecthrobabylonicus, Sionophilus."
"Thomas Young, 1587-1655","Young, Thomas, 1587-1655.; Young, Thomas, 1587-1655.; Young, Thomas, 1587-1655. aut"
"Walter Powell, born 1590 or 91","Powell, Walter, b. 1590 or 91.; Powell, Walter, b. 1590 or 91.; Powell, Walter, b. 1590 or 91."
"John Wall, 1588-1666","Wall, John, 1588-1666.; Wall, John, 1588-1666.; Wall, John, 1588-1666."
"Panter Panter, P","Panter, P."
"Brown Brown, Mr","Brown, Mr."
"John Price, 1625?-1691","Price, John, 1625?-1691.; Price, John, 1625?-1691."
"Wilbee Wilbee, Amon","Wilbee, Amon.; Wilbee, Amon.; Wilbee, Amon."
"John Tolson, 1575 or 6-1644","Tolson, John, 1575 or 6-1644."
"William Sancroft, 1617-1693","Sancroft, William, 1617-1693.; Sancroft, William, 1617-1693.; Sancroft, William, 1617-1693."
"Saint-Amour, Louis-Gorin de Saint-Amour, Louis-Gorin de, 1619","Saint-Amour, Louis-Gorin de, 1619-1687."
"Havers Havers, G","Havers, G. (George); Havers, G. (George); Havers, G. (George)"
"Planis Campy Planis Campy, David de","Planis Campy, David de."
"Damaris Pearse, 1659-1679","Pearse, Damaris, 1659-1679."
"Matthew Newcomen, 1610?-1669","Newcomen, Matthew, 1610?-1669.; Newcomen, Matthew, 1610?-1669.; Newcomen, Matthew, 1610?-1669.; Newcomen, Matthew, 1610?-1669.; Newcomen, Matthew, 1610?-1669. aut"
"John Whynnell, born 1603 or 4","Whynnell, John, b. 1603 or 4."
"John Robinson, M","Robinson, John, M.D."
"Sherlock, R. (Richard) Sherlock, R. (Richard), 1612","Sherlock, R. (Richard), 1612-1689.; Sherlock, R. (Richard), 1612-1689.; Sherlock, R. (Richard), 1612-1689.; Sherlock, R. (Richard), 1612-1689.; Sherlock, R. (Richard), 1612-1689.; Sherlock, R. (Richard), 1612-1689."
"Blaise Pascal, 1623-1662","Pascal, Blaise, 1623-1662.; Pascal, Blaise, 1623-1662.; Pascal, Blaise, 1623-1662. Provinciales."
"Pigot Pigot, John","Pigot, John."
"Stirrup Stirrup, Thomas","Stirrup, Thomas."
"Caleb Pusey, 1650?-1727","Pusey, Caleb, 1650?-1727."
"Pierre Lombart, 1612-1682, engraver","Lombart, Pierre, 1612-1682, engraver."
"John Stalham, died 1681","Stalham, John, d. 1681."
"Tillam Tillam, Thomas","Tillam, Thomas.; Tillam, Thomas.; Tillam, Thomas."
"John Prideaux, 1578-1650","Prideaux, John, 1578-1650.; Prideaux, John, 1578-1650.; Prideaux, John, 1578-1650.; Prideaux, John, 1578-1650. Christs counsell for ending lavv cases.; Prideaux, John, 1578-1650. Christians free-will offering.; Prideaux, John, 1578-1650. Higgaion & Selah: for the discovery of the powder-plot.; Prideaux, John, 1578-1650. Gowries Conspiracie.; Prideaux, John, 1578-1650.; Prideaux, John, 1578-1650. Sermon preached on the fifth of October 1624. at the consecration of St James Chappell in Exceter Colledge.; Prideaux, John, 1578-1650. Ephesus backsliding: considered and applied to these times.; Prideaux, John, 1578-1650. Perez-vzzah. Or the breach of vzzah.; Prideaux, John, 1578-1650. Hezekiahs sicknesse and recovery.; Prideaux, John, 1578-1650."
"Pell Pell, Daniel","Pell, Daniel."
"Spinola Spinola, George","Spinola, George."
"Salter Salter, Christopher","Salter, Christopher."
Well-affected Christian souldier,Well-affected Christian souldier.
"Viscount Fanshawe, Thomas Fanshawe, 1596-1665, attributed name","Fanshawe, Thomas Fanshawe, Viscount, 1596-1665, attributed name."
"Peter Osborne, 1521-1592","Osborne, Peter, 1521-1592."
"John Wilson, 1626-1696","Wilson, John, 1626-1696.; Wilson, John, 1626-1696.; Wilson, John, 1626-1696.; Wilson, John, 1626-1696."
"Thomas Povey, active 1633-1685","Povey, Thomas, fl. 1633-1685."
"Sir Wiseman, Robert, 1613-1684","Wiseman, Robert, Sir, 1613-1684.; Wiseman, Robert, Sir, 1613-1684."
"George Raleigh, born 1600?","Raleigh, George, b. 1600?"
"John Chantry, died 1662?, engraver","Chantry, John, d. 1662?, engraver."
"Gabriel Bedell, died 1668","Bedell, Gabriel, d. 1668."
"Thomas Collins, active 1650-1682","Collins, Thomas, fl. 1650-1682."
"Thou, Jacques-Auguste de Thou, Jacques-Auguste de, 1553","Thou, Jacques-Auguste de, 1553-1617.; Thou, Jacques-Auguste de, 1553-1617.; Thou, Jacques-Auguste de, 1553-1617.; Thou, Jacques-Auguste de, 1553-1617."
"Edward Stephens, died 1706","Stephens, Edward, d. 1706.; Stephens, Edward, d. 1706."
"Laurence Sarson, active 1643-1645","Sarson, Laurence, fl. 1643-1645.; Sarson, Laurence, fl. 1643-1645."
"Timothy Woodroffe, 1593 or 4-1677","Woodroffe, Timothy, 1593 or 4-1677."
"John Rowe, 1626-1677","Rowe, John, 1626-1677.; Rowe, John, 1626-1677."
"Alexander Pringle, of Harwich","Pringle, Alexander, of Harwich."
"John Wagstaffe, 1633-1677","Wagstaffe, John, 1633-1677."
"Richard Parr, 1617-1691","Parr, Richard, 1617-1691.; Parr, Richard, 1617-1691."
"Michael Ogilvy, died 1666","Ogilvy, Michael, d. 1666."
