TCP_name_heading,original_ids
"Robert Purnell, died 1666","Purnell, Robert, d. 1666.; Purnell, Robert, d. 1666."
"Robert Parnell, attributed name","Parnell, Robert, attributed name."
"Richard Baxter, 1615-1691","Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691. Mr. Baxter's arguments for conformity against separation.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691. Fools prosperity.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691.; Baxter, Richard, 1615-1691."
"John Arrowsmith, 1602-1659","Arrowsmith, John, 1602-1659.; Arrowsmith, John, 1602-1659."
M,"M. P.; M. H.; M. R., Gent.; M. L.; M. M.; M. R.; M. R."
"William Bartlet, 1609 or 10-1682","Bartlet, William, 1609 or 10-1682."
"John Goodwin, 1594?-1665","Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665.; Goodwin, John, 1594?-1665."
"John Dury, 1596-1680","Dury, John, 1596-1680.; Dury, John, 1596-1680.; Dury, John, 1596-1680.; Dury, John, 1596-1680.; Dury, John, 1596-1680."
"Iacopo Aconcio, died 1566","Aconcio, Iacopo, d. 1566."
"John Turner, born 1649 or 50","Turner, John, b. 1649 or 50.; Turner, John, b. 1649 or 50.; Turner, John, b. 1649 or 50.; Turner, John, b. 1649 or 50.; Turner, John, b. 1649 or 50.; Turner, John, b. 1649 or 50.; Turner, John, b. 1649 or 50.; Turner, John, b. 1649 or 50.; Turner, John, b. 1649 or 50.; Turner, John, b. 1649 or 50.; Turner, John, b. 1649 or 50.; Turner, John, b. 1649 or 50.; Turner, John, b. 1649 or 50.; Turner, John, b. 1649 or 50.; Turner, John, b. 1649 or 50."
"Sir Yelverton, Henry, 1566-1629","Yelverton, Henry, Sir, 1566-1629.; Yelverton, Henry, Sir, 1566-1629. Short discourse of the truth & reasonableness of the religion delivered by Jesus Christ."
"Daniel Whitby, 1638-1726","Whitby, Daniel, 1638-1726.; Whitby, Daniel, 1638-1726.; Whitby, Daniel, 1638-1726.; Whitby, Daniel, 1638-1726."
"Ralph Venning, 1621?-1674","Venning, Ralph, 1621?-1674.; Venning, Ralph, 1621?-1674.; Venning, Ralph, 1621?-1674.; Venning, Ralph, 1621?-1674.; Venning, Ralph, 1621?-1674.; Venning, Ralph, 1621?-1674."
"Robert White, 1645-1703","White, Robert, 1645-1703.; White, Robert, 1645-1703.; White, Robert, 1645-1703.; White, Robert, 1645-1703.; White, Robert, 1645-1703.; White, Robert, 1645-1703.; White, Robert, 1645-1703.; White, Robert, 1645-1703."
"Nathanael Vincent, 1639?-1697","Vincent, Nathanael, 1639?-1697.; Vincent, Nathanael, 1639?-1697.; Vincent, Nathanael, 1639?-1697.; Vincent, Nathanael, 1639?-1697.; Vincent, Nathanael, 1639?-1697.; Vincent, Nathanael, 1639?-1697.; Vincent, Nathanael, 1639?-1697.; Vincent, Nathanael, 1639?-1697.; Vincent, Nathanael, 1639?-1697.; Vincent, Nathanael, 1639?-1697."
"William Sclater, 1575-1626","Sclater, William, 1575-1626.; Sclater, William, 1575-1626.; Sclater, William, 1575-1626.; Sclater, William, 1575-1626."
"William Sclater, 1609-1661","Sclater, William, 1609-1661.; Sclater, William, 1609-1661.; Sclater, William, 1609-1661.; Sclater, William, 1609-1661.; Sclater, William, 1609-1661.; Sclater, William, 1609-1661.; Sclater, William, 1609-1661."
"Thomas Swadlin, 1600-1670","Swadlin, Thomas, 1600-1670.; Swadlin, Thomas, 1600-1670.; Swadlin, Thomas, 1600-1670.; Swadlin, Thomas, 1600-1670.; Swadlin, Thomas, 1600-1670."
"William Jenkyn, 1613-1685","Jenkyn, William, 1613-1685.; Jenkyn, William, 1613-1685.; Jenkyn, William, 1613-1685.; Jenkyn, William, 1613-1685."
"Thomas Grantham, 1634-1692","Grantham, Thomas, 1634-1692.; Grantham, Thomas, 1634-1692.; Grantham, Thomas, 1634-1692.; Grantham, Thomas, 1634-1692."
"Henry Hurst, 1629-1690","Hurst, Henry, 1629-1690.; Hurst, Henry, 1629-1690."
"Christopher Ness, 1621-1705","Ness, Christopher, 1621-1705.; Ness, Christopher, 1621-1705.; Ness, Christopher, 1621-1705.; Ness, Christopher, 1621-1705.; Ness, Christopher, 1621-1705.; Ness, Christopher, 1621-1705.; Ness, Christopher, 1621-1705.; Ness, Christopher, 1621-1705.; Ness, Christopher, 1621-1705."
"John Patrick, 1632-1695","Patrick, John, 1632-1695.; Patrick, John, 1632-1695.; Patrick, John, 1632-1695.; Patrick, John, 1632-1695.; Patrick, John, 1632-1695.; Patrick, John, 1632-1695."
"Johannes Piscator, 1546-1625","Piscator, Johannes, 1546-1625."
"Henry Holland, 1555 or 6-1603","Holland, Henry, 1555 or 6-1603.; Holland, Henry, 1555 or 6-1603."
"Jean Calvin, 1509-1564","Calvin, Jean, 1509-1564.; Calvin, Jean, 1509-1564.; Calvin, Jean, 1509-1564.; Calvin, Jean, 1509-1564."
"Francis Delaram, 1589 or 90-1627, engraver","Delaram, Francis, 1589 or 90-1627, engraver.; Delaram, Francis, 1589 or 90-1627, engraver."
"Gryffith Williams, 1589?-1672","Williams, Gryffith, 1589?-1672.; Williams, Gryffith, 1589?-1672.; Williams, Gryffith, 1589?-1672.; Williams, Gryffith, 1589?-1672.; Williams, Gryffith, 1589?-1672. Great antichrist revealed, never yet discovered, and proved to be neither pope, nor Turk, nor any single person, nor any one monarch or tyrant in any polity.; Williams, Gryffith, 1589?-1672.; Williams, Gryffith, 1589?-1672.; Williams, Gryffith, 1589?-1672.; Williams, Gryffith, 1589?-1672.; Williams, Gryffith, 1589?-1672.; Williams, Gryffith, 1589?-1672.; Williams, Gryffith, 1589?-1672.; Williams, Gryffith, 1589?-1672.; Williams, Gryffith, 1589?-1672."
"John Day, 1566-1628","Day, John, 1566-1628.; Day, John, 1566-1628.; Day, John, 1566-1628.; Day, John, 1566-1628."
"Stephen Egerton, 1555?-1621?","Egerton, Stephen, 1555?-1621?"
"Virel Virel, Matthieu","Virel, Matthieu."
"Vicars Vicars, Thomas","Vicars, Thomas. Treatise written to the glory of gods grace, against free-will."
"Keckermann, Bartholomäus Keckermann, Bartholomäus, circa 1571","Keckermann, Bartholomäus, ca. 1571-1608 or 9.; Keckermann, Bartholomäus, ca. 1571-1608 or 9."
"Thomas Brooks, 1608-1680","Brooks, Thomas, 1608-1680.; Brooks, Thomas, 1608-1680.; Brooks, Thomas, 1608-1680.; Brooks, Thomas, 1608-1680.; Brooks, Thomas, 1608-1680.; Brooks, Thomas, 1608-1680.; Brooks, Thomas, 1608-1680.; Brooks, Thomas, 1608-1680.; Brooks, Thomas, 1608-1680. Golden key to open hidden treasures. Part 2.; Brooks, Thomas, 1608-1680.; Brooks, Thomas, 1608-1680.; Brooks, Thomas, 1608-1680."
"Edward Bagshaw, 1629-1671","Bagshaw, Edward, 1629-1671.; Bagshaw, Edward, 1629-1671."
