id,title,authors,publisher,pubplace,date,subject_heading
A64780,"Detur pulchriori, or, A poem in the praise of the Vniversity of Oxford","F. V. (Francis Vaux); Vernon, Francis, 1637?-1677.",s n,Oxford,1658,
A62319,"Typhon, or, The gyants war with the gods a mock-poem, in five canto's.","Phillips, John, 1631-1706.; Scarron, Monsieur, 1610-1660.",Printed for Samuel Speed,London,1665,
A64749,"Thalia rediviva the pass-times and diversions of a countrey-muse, in choice poems on several occasions : with some learned remains of the eminent Eugenius Philalethes, never made publick till now.","Vaughan, Henry, 1622-1695.; J. W.; Vaughan, Thomas, 1622-1666. Viri insignissimi et poetarum.",Printed for Robert Pawlet,London,1678,
A64747,"Silex scintillans, or, Sacred poems and priuate eiaculations by Henry Vaughan ...","Vaughan, Henry, 1622-1695.",Printed by T W for H Blunden,London,1650,
A67127,"Reliquiae Wottonianae, or, A collection of lives, letters, poems with characters of sundry personages : and other incomparable pieces of language and art : also additional letters to several persons, not before printed / by the curious pencil of the ever memorable Sir Henry Wottan ...","Wotton, Henry, Sir, 1568-1639.",Printed by T Roycroft for R Marriott F Tyton T Collins and J Ford,London,1672,
A61292,"Poems by Thomas Stanley, Esquire.","Stanley, Thomas, 1625-1678.",s n,London,1651,
A62661,"Lycidus, or, The lover in fashion being an account from Lycidus to Lysander, of his voyage from the Island of Love : from the French / by the same author of The voyage to the Isle of Love ; together with a miscellany of new poems, by several hands.","Tallemant, Paul, 1642-1712.; Behn, Aphra, 1640-1689.",Printed for Joseph Knight and Francis Saunders,London,1688,
A70281,Poems on several choice and various subjects occasionally composed by an eminent author ; collected and published by Sergeant-Major P.F.,"Fisher, Payne, 1616-1693.; Howell, James, 1594?-1666.",Printed by Ja Cottrel and are to be sold by S Speed,London,1663,
A59169,Hippolitus translated out of Seneca by Edmund Prestwich ; together with divers other poems of the same authors.,"Prestwich, Edmund, fl. 1650-1651.; Seneca, Lucius Annaeus, ca. 4 B.C.-65 A.D.",Printed by G D for George Boddington,London,1651,
A53061,"Poems, and fancies written by the Right Honourable, the Lady Margaret Newcastle.","Newcastle, Margaret Cavendish, Duchess of, 1624?-1674.",Printed by T R for J Martin and J Allestrye,London,1653,
A53525,"The poet's complaint of his muse, or, A satyr against libells a poem / by Thomas Otway.","Otway, Thomas, 1652-1685.",Printed for Thomas Norman,London,1680,
A55481,Poems upon several occasions by S.P.,"Pordage, Samuel, 1633-1691?",Printed by W G for Henry Marsh and Peter Dring,London,1660,
A50938,"Poems, &c. upon several occasions both English and Latin, &c. / composed at several times by Mr. John Milton ; with a small tractate of education to Mr. Hartlib.","Milton, John, 1608-1674.",Printed for Tho Dring,London,1673,
A52417,"A collection of miscellanies consisting of poems, essays, discourses, and letters occasionally written / by John Norris ...","Norris, John, 1657-1711. Idea of happiness, in a letter to a friend.; Norris, John, 1657-1711.",Printed at the Theater for John Crosley,Oxford,1687,
A51643,[Erotopaignion] The loves of Hero and Leander : a Greeke poem / written by Musæus ; translated by Sir Robert Stapylton ...,"Musaeus, Grammaticus.; Stapylton, Robert, Sir, d. 1669.",Printed by Henry Hall,Oxford,1645,
A57495,Poems on several occasions by the right honourable the E. of R-,"Rochester, John Wilmot, Earl of, 1647-1680.",s n,Printed at Antwerpen,1680,
A55477,"The loyal incendiary, or, The generous boutefieu a poem occasioned by the report of the owners bravely setting fire to the Rye House, as the King came from Newmarket.","Pordage, Samuel, 1633-1691?",Printed and sold by Walter Davis,London,1684,
A59967,"Carolina, or, Loyal poems by Tho. Shipman, Esq.","Shipman, Thomas, 1632-1680.",Printed for Samuel Heyrick and William Crook,London,1683,
A53475,"Poems on most of the festivals of the church composed by the Right Honourable Roger, Earl of Orrery.","Orrery, Roger Boyle, Earl of, 1621-1679.",Printed for Henry Herringman at the Anchor in the Lower Walk of the New Exchange,London,1681,
A54715,Poems by the incomparable Mrs. K.P.,"Philips, Katherine, 1631-1664.",Printed by J G for Rich Marriott,London,1664,
A54678,Poems by Thomas Philipott ...,"Philipot, Thomas, d. 1682.",Printed by R A for Henry Shepheard and William Ley,London,1646,
A53288,"Poems, and translations by the author of the Satyrs upon the Jesuits.","Oldham, John, 1653-1683.",Printed for Jos Hindmarsh,London,1683,
A57491,"Female excellence, or, Woman display'd in several satyrick poems / by a person of quality.","Person of quality.; Gould, Robert, d. 1709?; Rochester, John Wilmot, Earl of, 1647-1680.",Printed for Norman Nelson,London,1679,
A49294,"Lucasta posthume poems of Richard Lovelace, Esq.","Lovelace, Richard, 1618-1658.; Lovelace, Dudley Posthumus.; Faithorne, William, 1616-1691.",Printed by William Godbid for Clement Darby,London,1659,
A47409,"Poems, elegies, paradoxes, and sonets","Jonson, Ben, 1573?-1637.; King, Henry, 1592-1669.",Printed for Henry Herringman,London,1664,
A47634,"Poems upon several occasions, and, to several persons by the author of The censure of the Rota.","Leigh, Richard, 1649 or 50-1728.",Printed by Andr Clark for William Hensman,London,1675,
A40381,Poems by Ben. Francis.,"Francis, Ben. (Benjamin)",Printed by T R for the author,London,1660,
A46270,"A royal arbor of loyal poesie consisting of poems and songs digested into triumph, elegy, satyr, love & drollery / composed by Tho. Jordan.","Jordan, Thomas, 1612?-1685?",Printed by R W for Eliz Andrews,London,1663,
A47363,Poems by Mrs. Anne Killigrew.,"Killigrew, Anne, 1660-1685.; Dryden, John, 1631-1700. To the pious memory of the accomplisht young lady Mrs. Anne Killigrew.",Printed for Samuel Lowndes,London,1686,
A45583,"The history of Polindor and Flostella, with other poems by I.H. Esq.","Harington, John, Sir, 1560-1612.; J. H. (John Harington), 1627?-1700.",Printed by T R for Thomas Dring,London,1657,
A07934,"The divine poem of Musæus. First of all bookes. Translated according to the originall, by Geo: Chapman","Chapman, George, 1559?-1634.; Musaeus, Grammaticus.",Printed by Issac Iaggard,London,1616,
A07541,"A nights search· Discovering the nature and condition of all sorts of night-walkers; with their associates. As also, the life and death of many of them. Together with divers fearfull and strange accidents, occasioned by such ill livers. Digested into a poeme by Humphry Mill.","Mill, Humphrey, fl. 1646.",Printed by Richard Bishop for Laurence Blaicklock at the Sugar loafe next Temple Barre,London,1640,
A02769,"The synagogue, or, The shadow of the temple Sacred poems, and private ejaculations. In imitation of Mr. George Herbert.","Herbert, George, 1593-1633. Temple.; Harvey, Christopher, 1597-1663.",Printed by I ohn L egat for Phil Stephens and Chrystopher Meredith at the golden Lion in St Pauls Church yard,London,1640,
A02478,"Of golds kingdome, and this vnhelping age Described in sundry poems intermixedly placed after certaine other poems of more speciall respect: and before the same is an oration or speech intended to haue bene deliuered by the author hereof vnto the Kings Maiesty.","Hake, Edward, fl. 1560-1604.",By Iohn Windet dwelling,Imprinted at London,1604,
A06181,"Scillaes metamorphosis: enterlaced with the vnfortunate loue of Glaucus VVhereunto is annexed the delectable discourse of the discontented satyre: with sundrie other most absolute poems and sonnets. Contayning the detestable tyrannie of disdaine, and comicall triumph of constancie: verie fit for young courtiers to peruse, and coy dames to remember. By Thomas Lodge of Lincolnes Inne, Gentleman.","Lodge, Thomas, 1558?-1625.",By Richard Ihones and are to be sold at his shop neere Holburne bridge at the signe of the Rose and Crowne,Imprinted at London,1589,
A01851,Poems. By Robert Gomersall,"Gomersall, Robert, 1602-1646?; Gomersall, Robert, 1602-1646? Tragedie of Lodovick Sforza Duke of Millan.; Gomersall, Robert, 1602-1646? Levites revenge.; Cecil, Thomas, fl. 1630, engraver.",Printed by M iles F lesher for Iohn Marriot,London,1633,
